node;timestamp;module;lc;face;prefix
sbg;1670213682.249969;[nfd.FIB];0;267;/ndn/sbg-site/%C1.Router/cs/sbg/KEY;
sbg;1670213682.250626;[nfd.FIB];0;267;/ndn/sbg-site/%C1.Operator;
sbg;1670213682.251147;[nfd.FIB];0;267;/ndn/sbg-site/KEY;
sbg;1670213682.251606;[nfd.FIB];10;263;/localhop/ndn/nlsr/LSA;
sbg;1670213682.251957;[nfd.FIB];10;264;/ndn/pad-site/%C1.Router/cs/pad;
sbg;1670213682.252297;[nfd.FIB];10;264;/localhop/ndn/nlsr/LSA;
sbg;1670213682.252692;[nfd.FIB];10;263;/ndn/mdn-site/%C1.Router/cs/mdn;
sbg;1670213684.274795;[nfd.FIB];10;264;/localhop/ndn/nlsr/sync/v=10;
sbg;1670213684.276358;[nfd.FIB];10;263;/localhop/ndn/nlsr/sync/v=10;
sbg;1670213699.347757;[nfd.FIB];70;263;/ndn/smg-site/smg;
sbg;1670213699.350205;[nfd.FIB];50;264;/ndn/smg-site/smg;
sbg;1670213699.351755;[nfd.FIB];70;263;/ndn/smg-site/%C1.Router/cs/smg;
sbg;1670213699.353064;[nfd.FIB];50;264;/ndn/smg-site/%C1.Router/cs/smg;
sbg;1670213699.359386;[nfd.FIB];90;263;/ndn/mlg-site/mlg;
sbg;1670213699.373352;[nfd.FIB];70;264;/ndn/mlg-site/mlg;
sbg;1670213699.373829;[nfd.FIB];90;263;/ndn/mlg-site/%C1.Router/cs/mlg;
sbg;1670213699.374097;[nfd.FIB];70;264;/ndn/mlg-site/%C1.Router/cs/mlg;
sbg;1670213699.374422;[nfd.FIB];20;263;/ndn/mbo-site/mbo;
sbg;1670213699.374745;[nfd.FIB];40;264;/ndn/mbo-site/mbo;
sbg;1670213699.375070;[nfd.FIB];20;263;/ndn/mbo-site/%C1.Router/cs/mbo;
sbg;1670213699.375450;[nfd.FIB];40;264;/ndn/mbo-site/%C1.Router/cs/mbo;
sbg;1670213699.375882;[nfd.FIB];50;263;/ndn/jkt-site/jkt;
sbg;1670213699.376377;[nfd.FIB];30;264;/ndn/jkt-site/jkt;
sbg;1670213699.376757;[nfd.FIB];50;263;/ndn/jkt-site/%C1.Router/cs/jkt;
sbg;1670213699.377104;[nfd.FIB];30;264;/ndn/jkt-site/%C1.Router/cs/jkt;
sbg;1670213699.377440;[nfd.FIB];50;263;/ndn/btu-site/btu;
sbg;1670213699.377756;[nfd.FIB];40;264;/ndn/btu-site/btu;
sbg;1670213699.378078;[nfd.FIB];50;263;/ndn/btu-site/%C1.Router/cs/btu;
sbg;1670213699.378435;[nfd.FIB];40;264;/ndn/btu-site/%C1.Router/cs/btu;
sbg;1670213699.378749;[nfd.FIB];20;263;/ndn/bna-site/bna;
sbg;1670213699.379061;[nfd.FIB];40;264;/ndn/bna-site/bna;
sbg;1670213699.379390;[nfd.FIB];20;263;/ndn/bna-site/%C1.Router/cs/bna;
sbg;1670213699.379708;[nfd.FIB];40;264;/ndn/bna-site/%C1.Router/cs/bna;
sbg;1670213699.380035;[nfd.FIB];70;263;/ndn/bjm-site/bjm;
sbg;1670213699.380360;[nfd.FIB];60;264;/ndn/bjm-site/bjm;
sbg;1670213699.380676;[nfd.FIB];70;263;/ndn/bjm-site/%C1.Router/cs/bjm;
sbg;1670213699.381004;[nfd.FIB];60;264;/ndn/bjm-site/%C1.Router/cs/bjm;
